epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,57942.5,1.34906,0.84572,0.00812,0.71496,0.81702,0.78032,0.51649,1.32139,0.74362,0.01068,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,58493.4,1.30432,0.6803,0.009,0.71781,0.81543,0.78075,0.51725,1.32087,0.74248,0.01067,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,59057.6,1.28838,0.66653,0.00882,0.71947,0.81405,0.78088,0.51765,1.32032,0.74177,0.01065,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,59632.5,1.27963,0.66583,0.00877,0.72091,0.81319,0.78129,0.51842,1.3193,0.74108,0.01063,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,60240.8,1.27599,0.65605,0.00868,0.72086,0.81292,0.78083,0.51837,1.31883,0.73987,0.01062,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,60834.5,1.26973,0.64359,0.0086,0.71879,0.81607,0.78126,0.51903,1.31886,0.73834,0.01062,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,61446.1,1.26329,0.642,0.00858,0.71996,0.81288,0.78128,0.51941,1.31887,0.73744,0.01062,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,62048.4,1.2583,0.64018,0.0085,0.72072,0.81418,0.78139,0.51933,1.31819,0.73809,0.0106,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,62615.8,1.25201,0.63522,0.0084,0.72075,0.81455,0.78145,0.51993,1.318,0.73754,0.01061,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,63168.7,1.24635,0.63119,0.00832,0.71929,0.81465,0.78089,0.51974,1.31712,0.73839,0.01059,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,63759.7,1.24101,0.62443,0.00827,0.72149,0.8139,0.78061,0.51945,1.31701,0.73688,0.0106,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
